"asn","match_name","organization","comment"
"45542","src_asn_edu_","VietNam National University Ha Noi",""
"45575","src_asn_edu_","Rajamangala University of Technology Srivijaya",""
"45773","src_asn_edu_","Pakistan Education & Research Network",""
"45810","src_asn_edu_","University of Nottingham Malaysia Campus",""
"46042","src_asn_edu_","Gunadarma University",""
"46103","src_asn_edu_","University of Wisconsin Whitewater",""
"46115","src_asn_edu_","Luther College",""
"46470","src_asn_edu_","Skidmore College",""
"46729","src_asn_edu_","Saint Leo University Incorporated",""
"46985","src_asn_edu_","The Regents of the University of California - University of California San Diego.",""
"47174","src_asn_edu_","Technical University of Varna",""
"47212","src_asn_edu_","Republic of Macedonia State University GOCE DELCEV Stip",""
"47610","src_asn_edu_","RWTH Aachen University",""
"48183","src_asn_edu_","Uniwersytet Przyrodniczo Humanistyczny w Siedlcach",""
"49792","src_asn_edu_","Amirkabir University of Technology",""
"50237","src_asn_edu_","The College of Management Academic Studies Founded by the Union Officials in Tel Aviv Corporation for Public-Benefit Ltd.",""
"50517","src_asn_edu_","King Saud University",""
"50999","src_asn_edu_","King Abdullah University of Science and Technology",""
"51181","src_asn_edu_","State educational institution for higher professional education SIBERIAN STATE AEROSPACE UNIVERSITY named after M.F.Reshetnev",""
"51352","src_asn_edu_","State Educational Institution of higher professional Education 'Vladimir State University'",""
"51539","src_asn_edu_","The American University of Iraq-Sulaimani",""
"51708","src_asn_edu_","Free University of Bozen-Bolzano",""
"52188","src_asn_edu_","MK-FCSE",""
"53260","src_asn_edu_","Clark University",""
"53403","src_asn_edu_","Mount Royal University",""
"53785","src_asn_edu_","University of North Carolina at Greensboro",""
"55380","src_asn_edu_","Kanazawa University",""
"55390","src_asn_edu_","Tokyo University of Science",""
"55545","src_asn_edu_","Suranaree University of Technology",""
"55618","src_asn_edu_","UNIVERSITY OF ULSAN",""
"55625","src_asn_edu_","Chungwoon University",""
"55674","src_asn_edu_","Universitas Negeri Yogyakarta",""
"55910","src_asn_edu_","Shibaura Institute of Technology",""
"56056","src_asn_edu_","Amity University",""
"56727","src_asn_edu_","Ozyegin University",""
"57171","src_asn_edu_","American University of Sharjah",""
"57563","src_asn_edu_","isfahan university of medical sciences & health services",""
"57745","src_asn_edu_","Tarbiat Modares University",""
"58457","src_asn_edu_","GITAM University",""
"58479","src_asn_edu_","Trisakti University",""
"58611","src_asn_edu_","Charles Darwin University",""
"59104","src_asn_edu_","Soka University",""
"59163","src_asn_edu_","GLA University",""
"59263","src_asn_edu_","Universiti Malaysia Terengganu",""
"59962","src_asn_edu_","Shiraz University",""
"60158","src_asn_edu_","FUNDACJA UNIWERSYTETU IM. ADAMA MICKIEWICZA W POZNANIU",""
"60560","src_asn_edu_","MEDICAL UNIVERSITY - VARNA Prof. Dr. Paraskev Stoyanov",""
"61248","src_asn_edu_","Ferdowsi University of Mashhad",""
"62436","src_asn_edu_","RIGAS AUSTRUMU KLINISKA UNIVERSITATES SLIMNICA",""
"62989","src_asn_edu_","Indiana University of Pennsylvania",""
"63130","src_asn_edu_","National-Louis University",""
