"asn","match_name","organization","comment"
"7794","src_asn_isp_","Execulink Telecom",""
"7849","src_asn_isp_","Crocker Communications Inc",""
"7922","src_asn_isp_","Comcast",""
"7925","src_asn_isp_","West Virginia Network for Educational Telecomputing",""
"8014","src_asn_isp_","Bahamas Telecommunications Company LTD.",""
"8103","src_asn_isp_","Florida Department of Management Services - Division of Telecommunications",""
"8134","src_asn_isp_","up.net",""
"8151","src_asn_isp_","Uninet S.A. de C.V.",""
"8163","src_asn_isp_","Metrotel SA ESP",""
"8193","src_asn_isp_","'Uzbektelekom' Joint Stock Company",""
"8194","src_asn_isp_","LVRTC Network",""
"8234","src_asn_isp_","RAI-AS",""
"8242","src_asn_isp_","Apex Telecom Ltd.",""
"8244","src_asn_isp_","TELECOM ITALIA SPARKLE S.p.A.",""
"8251","src_asn_isp_","NFX z.s.p.o. (FreeTel s.r.o.)",""
"8280","src_asn_isp_","Synapsecom Telecoms S.A.",""
"8301","src_asn_isp_","Gibraltar Telecom",""
"8304","src_asn_isp_","Ecritel",""
"8334","src_asn_isp_","LLC SETEL",""
"8345","src_asn_isp_","JSC 'ER-Telecom Holding'",""
"8346","src_asn_isp_","SONATEL DAKAR",""
"8359","src_asn_isp_","Mobile TeleSystems PJSC",""
"8368","src_asn_isp_","DSTNY",""
"8374","src_asn_isp_","Polkomtel",""
"8375","src_asn_isp_","Telehouse Deutschland GmbH",""
"8393","src_asn_isp_","ASTEL JSC",""
"8395","src_asn_isp_","East Telecom Ltd.",""
"8400","src_asn_isp_","TSSRB - Telekom Srbija",""
"8402","src_asn_isp_","Corbina Telecom",""
"8410","src_asn_isp_","NIR-AS",""
"8412","src_asn_isp_","Magenta Telekom",""
"8414","src_asn_isp_","International Telecommunication Union",""
"8422","src_asn_isp_","NetCologne",""
"8427","src_asn_isp_","Joint Stock Company TransTeleCom",""
"8443","src_asn_isp_","PJSC Rostelecom",""
"8447","src_asn_isp_","A1 Telekom Austria AG",""
"8452","src_asn_isp_","Telecom Egypt",""
"8487","src_asn_isp_","Phibee Telecom",""
"8529","src_asn_isp_","Zain Omantel International",""
"8544","src_asn_isp_","PrimeTel Telecom",""
"8562","src_asn_isp_","A1 Telekom Austria AG",""
"8570","src_asn_isp_","PJSC Rostelecom",""
"8580","src_asn_isp_","MTS PJSC",""
"8585","src_asn_isp_","Crnogorski Telekom a.d.Podgorica",""
"8615","src_asn_isp_","Central Telegraph",""
"8661","src_asn_isp_","Posta dhe telekomi i Kosoves",""
"8675","src_asn_isp_","PJSC Rostelecom",""
"8697","src_asn_isp_","Jordan Telecommunications",""
"8711","src_asn_isp_","JSC Avantel",""
"8717","src_asn_isp_","A1 BG EAD",""
"8720","src_asn_isp_","Aspan telecom",""
"8732","src_asn_isp_","COMCOR",""
"8753","src_asn_isp_","Mediateleset Ltd.",""
"8764","src_asn_isp_","Telia Lietuva AB",""
"8767","src_asn_isp_","M-net",""
"8781","src_asn_isp_","Ooredoo Qatar",""
"8814","src_asn_isp_","Aztelekom LLC",""
"8821","src_asn_isp_","WWZ Telekom",""
"8847","src_asn_isp_","Telecomm Technology",""
"8881","src_asn_isp_","1&1 Versatel Deutschland",""
"8887","src_asn_isp_","TESATEL s.r.o.",""
"8926","src_asn_isp_","Moldtelecom",""
"8966","src_asn_isp_","Etisalat",""
"9000","src_asn_isp_","Eser Telekom Sanayi ve Ticaret A.S.",""
"9038","src_asn_isp_","Umniah Mobile Company",""
"9066","src_asn_isp_","EWE TEL SO",""
"9110","src_asn_isp_","'AMT GROUP TELECOM' Limited Liability Company",""
"9121","src_asn_isp_","Turk Telekom",""
"9125","src_asn_isp_","Orion Telekom",""
"9145","src_asn_isp_","EWE TEL",""
"9146","src_asn_isp_","BHTelecom",""
"9158","src_asn_isp_","Telenor Denmark",""
"9198","src_asn_isp_","Kazakhtelecom",""
